,Date,I_ext,a,b,Tl_a,SSPC_MBD,SSPC_MAPD,SSPC_RMSD,SSPC_MAD,SSPC_SD,SSPC_NSE_o_R2,SSPC_SBF,SSPC_U95,SSPC_TS,SSPC_WIA,SSPC_LCE,SSPC_KSI,SSPC_OVER,SSPC_CPI,ESRA_RMSD,ESRA_KSI,ESRA_OVER,ESRA_CPI,I&P_RMSD,HLJ_RMSD,Mghouchi_RMSD,Biga_RMSD,FR1999_RMSD,S1994_RMSD,DPP_RMSD,M1976_RMSD,L1970_RMSD,Kasten_RMSD,SP1965_RMSD,Hourwitz_RMSD
55,2010-08-21,1329.3426,0.1956,-3.3981,2.104,2.4335,2.5588,2.8472,2051.5563,21.5086,0.8604,0.8188,42.5247,47.7745,0.9592,0.6321,32358.3406,32255.1301,16154.7913,158.663,279966.8971,279866.8971,139959.8721,8.4871,622.0263,584.5321,122.8198,649.7678,198.5157,571.7812,197.5246,183.7693,182.2208,188.6271,132.3375
56,2010-08-22,1329.8973,0.2077,-3.7613,2.2505,2.1863,2.3933,3.1727,1797.2781,23.9559,0.8391,0.7188,47.3636,27.246,0.9471,0.6773,28636.0238,28532.5684,14293.7344,161.2444,280796.0623,280696.0623,140374.6175,8.4871,624.199,586.938,125.0305,652.498,201.1978,574.7069,200.2003,186.3979,184.9709,191.2156,131.3151
57,2010-08-23,1330.4613,0.3714,-5.9618,4.486,1.0944,1.159,1.6053,156.7379,11.4758,0.7665,0.6723,22.7115,10.9867,0.9203,0.5394,5324.7074,5214.4736,2635.5979,141.5613,100583.897,100483.897,50267.7511,8.3432,598.6574,564.3964,93.4962,631.8822,183.3573,555.1639,182.2742,167.9993,169.1853,171.6082,159.9494
58,2010-09-11,1342.7595,0.1184,-0.8354,1.2179,-0.5098,0.9069,1.2429,303.3077,8.4808,0.7776,1.4001,16.7999,8.3055,0.9618,0.6119,6767.0461,6656.0114,3356.3858,190.1273,213797.2143,213697.2143,106874.2286,8.2757,601.3314,577.1384,103.4021,642.8737,224.1531,573.5904,222.7862,207.0487,238.4424,204.4692,140.4781
59,2010-09-12,1343.4785,0.1577,-2.4222,1.6589,0.1882,0.1972,0.2375,3.7437,1.6974,0.7066,0.9279,3.3594,5.5113,0.9284,0.4851,361.8771,266.7122,157.2661,212.4238,55267.7348,55167.7348,27608.9861,8.2616,605.9965,587.8842,114.0481,649.8266,250.5499,584.698,249.0697,232.7745,269.1724,226.7729,122.115
60,2010-09-13,1344.2034,0.1298,-1.688,1.3441,2.0595,2.0598,2.2613,274.0308,15.7896,-2.1811,1.0501,31.2634,25.3401,0.6234,-0.9421,9973.3963,9858.0813,4959.0001,211.2352,145936.4584,145836.4584,72944.3599,8.3356,617.1704,594.7766,120.8666,659.6141,246.5901,591.6256,245.1834,229.2491,262.3359,225.5886,120.6676
61,2010-09-15,1345.6701,0.1324,-1.703,1.3724,0.5526,0.5541,0.6503,91.3671,4.4297,0.1424,0.9303,8.7753,20.6501,0.8209,0.0699,2927.4762,2824.6193,1438.349,211.9505,164984.8267,164884.8267,82467.7385,8.2745,606.6651,588.1363,114.6604,650.5115,250.0219,585.3054,248.5423,232.2359,268.5578,226.3225,121.7651
62,2011-04-02,1362.3148,0.1093,-0.041,1.1185,0.3534,0.3628,0.4413,10.5356,2.9468,0.9875,1.005,5.8402,7.0738,0.9969,0.8844,740.4362,637.0614,344.5951,148.9428,47508.2832,47408.2832,23729.3622,8.1861,558.9101,530.0245,61.8048,599.6983,165.286,529.076,163.9687,148.3729,196.4141,147.5964,188.8654
63,2011-04-04,1360.705,0.1622,-0.8198,1.7106,1.2137,2.0015,2.2401,532.4754,12.6379,0.8698,1.1535,25.1565,10.553,0.9726,0.6399,11044.4597,10940.3269,5497.3167,56.1352,54602.2848,54502.2848,27277.2625,7.7388,471.2974,440.2646,37.1981,510.538,70.6334,438.7848,69.3824,54.2312,99.6325,54.8421,279.1777
64,2011-04-05,1359.9016,0.4637,-6.0127,6.0209,3.2523,3.3805,4.1267,1541.6833,27.0052,0.206,0.454,53.5447,27.8448,0.7228,0.1931,27980.044,27872.5335,13965.2078,146.1141,193244.3271,193144.3271,96599.2269,8.2173,561.7099,530.9258,62.4877,600.932,161.3088,529.2374,160.0352,144.6235,190.7661,144.7932,187.7365
